input,R,G,B
4.648437500000000000e-01,4.822051391249999597e-01,4.822049713000000071e-01,4.822046277750000054e-01
4.687500000000000000e-01,4.866485046999999842e-01,4.866483128999999908e-01,4.866479202999999809e-01
4.726562500000000000e-01,4.912595955249999813e-01,4.911425654250000106e-01,4.909031086874999783e-01
4.765625000000000000e-01,4.958706863499999784e-01,4.956368179500000304e-01,4.951582970750000312e-01
4.804687500000000000e-01,5.004817771749999755e-01,5.001310704750000502e-01,4.994134854625000286e-01
4.843750000000000000e-01,5.050928679999999726e-01,5.046253230000000700e-01,5.036686738500000260e-01
4.882812500000000000e-01,5.097039588249999698e-01,5.091195755249999788e-01,5.079238622374999679e-01
4.921875000000000000e-01,5.143150496499999669e-01,5.136138280499999986e-01,5.121790506250000208e-01
4.960937500000000000e-01,5.189261404750000750e-01,5.181080805750000184e-01,5.164342390124999627e-01
5.000000000000000000e-01,5.235372312999999611e-01,5.226023331000000383e-01,5.206894274000000156e-01
5.039062500000000000e-01,5.283064444374999669e-01,5.270707304625000811e-01,5.245427192125000637e-01
5.078125000000000000e-01,5.330756575749999726e-01,5.315391278250001239e-01,5.283960110250001119e-01
5.117187500000000000e-01,5.378448707124999784e-01,5.360075251874999447e-01,5.322493028374999380e-01
5.156250000000000000e-01,5.426140838499999841e-01,5.404759225500000985e-01,5.361025946499999861e-01
5.195312500000000000e-01,5.473832969874999899e-01,5.449443199125001414e-01,5.399558864625000343e-01
5.234375000000000000e-01,5.521525101249999956e-01,5.494127172750000732e-01,5.438091782749998604e-01
5.273437500000000000e-01,5.569217232625000014e-01,5.538811146375000050e-01,5.476624700874999085e-01
5.312500000000000000e-01,5.616909364000000071e-01,5.583495120000000478e-01,5.515157618999999567e-01
5.351562500000000000e-01,5.665383828250000198e-01,5.627724775625000397e-01,5.550686271249999360e-01
5.390625000000000000e-01,5.713858292499999214e-01,5.671954431250000317e-01,5.586214923500000262e-01
5.429687500000000000e-01,5.762332756750000451e-01,5.716184086875000236e-01,5.621743575749998945e-01
5.468750000000000000e-01,5.810807221000000578e-01,5.760413742500000156e-01,5.657272228000000958e-01
5.507812500000000000e-01,5.859281685249999594e-01,5.804643398125000076e-01,5.692800880250000750e-01
5.546875000000000000e-01,5.907756149500000831e-01,5.848873053749999995e-01,5.728329532499999432e-01
5.585937500000000000e-01,5.956230613749999847e-01,5.893102709374999915e-01,5.763858184750000335e-01
5.625000000000000000e-01,6.004705077999999974e-01,5.937332364999999834e-01,5.799386837000000128e-01
5.664062500000000000e-01,6.055211877499999673e-01,5.980875833375000061e-01,5.827260495875000723e-01
5.703125000000000000e-01,6.105718677000000483e-01,6.024419301749999178e-01,5.855134154750000208e-01
5.742187500000000000e-01,6.156225476499999072e-01,6.067962770124999405e-01,5.883007813624999693e-01
5.781250000000000000e-01,6.206732275999999882e-01,6.111506238500000743e-01,5.910881472500000289e-01
5.820312500000000000e-01,6.257239075500000691e-01,6.155049706875000970e-01,5.938755131375000884e-01
5.859375000000000000e-01,6.307745875000000391e-01,6.198593175250000087e-01,5.966628790250000369e-01
5.898437500000000000e-01,6.358252674500000090e-01,6.242136643625000314e-01,5.994502449124999854e-01
5.937500000000000000e-01,6.408759473999999789e-01,6.285680112000000541e-01,6.022376108000000450e-01
5.976562500000000000e-01,6.459612915374999265e-01,6.328329708000001164e-01,6.046033623500001175e-01
6.015625000000000000e-01,6.510466356750000960e-01,6.370979304000000676e-01,6.069691139000000790e-01
6.054687500000000000e-01,6.561319798125000435e-01,6.413628900000000188e-01,6.093348654500000405e-01
6.093750000000000000e-01,6.612173239500001021e-01,6.456278496000000811e-01,6.117006170000001131e-01
6.132812500000000000e-01,6.663026680874999386e-01,6.498928092000000323e-01,6.140663685499999636e-01
6.171875000000000000e-01,6.713880122249998861e-01,6.541577687999999835e-01,6.164321200999999251e-01
6.210937500000000000e-01,6.764733563625000556e-01,6.584227283999999347e-01,6.187978716499998866e-01
6.250000000000000000e-01,6.815587005000000032e-01,6.626876879999999970e-01,6.211636231999999591e-01
6.289062500000000000e-01,6.864753691750000719e-01,6.668487989125000404e-01,6.235666396374999199e-01
6.328125000000000000e-01,6.913920378499999186e-01,6.710099098249999727e-01,6.259696560749998806e-01
6.367187500000000000e-01,6.963087065249999874e-01,6.751710207374999051e-01,6.283726725124999524e-01
6.406250000000000000e-01,7.012253751999999452e-01,6.793321316500000595e-01,6.307756889500000241e-01
6.445312500000000000e-01,7.061420438750000139e-01,6.834932425624999919e-01,6.331787053874999849e-01
6.484375000000000000e-01,7.110587125500000827e-01,6.876543534750000353e-01,6.355817218250000566e-01
6.523437500000000000e-01,7.159753812249999294e-01,6.918154643875000787e-01,6.379847382625000174e-01
6.562500000000000000e-01,7.208920498999999982e-01,6.959765753000000110e-01,6.403877546999999781e-01
6.601562500000000000e-01,7.251659488750000770e-01,7.000533443374999942e-01,6.439514791250000592e-01
6.640625000000000000e-01,7.294398478499999339e-01,7.041301133749999774e-01,6.475152035499999181e-01
6.679687500000000000e-01,7.337137468250000127e-01,7.082068824124999606e-01,6.510789279749999992e-01
6.718750000000000000e-01,7.379876457999999806e-01,7.122836514499999438e-01,6.546426523999999691e-01
6.757812500000000000e-01,7.422615447749999484e-01,7.163604204875000381e-01,6.582063768249999391e-01
6.796875000000000000e-01,7.465354437500000273e-01,7.204371895250000213e-01,6.617701012500000202e-01
6.835937500000000000e-01,7.508093427249998841e-01,7.245139585625000045e-01,6.653338256749998791e-01
6.875000000000000000e-01,7.550832416999999630e-01,7.285907275999999877e-01,6.688975500999999602e-01
6.914062500000000000e-01,7.590337340749999662e-01,7.325306374375000207e-01,6.727770451624999204e-01
6.953125000000000000e-01,7.629842264500000804e-01,7.364705472750000537e-01,6.766565402249999917e-01
6.992187500000000000e-01,7.669347188249999725e-01,7.404104571125000867e-01,6.805360352874999519e-01
