input,R,G,B
1.250000000000000000e-01,9.613209590000000582e-02,1.495661212000000129e-01,1.661820887999999885e-01
1.289062500000000000e-01,1.000417065875000150e-01,1.533752678749999987e-01,1.698947558124999924e-01
1.328125000000000000e-01,1.039513172750000103e-01,1.571844145499999845e-01,1.736074228249999685e-01
1.367187500000000000e-01,1.078609279625000056e-01,1.609935612250000259e-01,1.773200898374999723e-01
1.406250000000000000e-01,1.117705386500000148e-01,1.648027079000000117e-01,1.810327568499999762e-01
1.445312500000000000e-01,1.156801493375000101e-01,1.686118545749999975e-01,1.847454238625000078e-01
1.484375000000000000e-01,1.195897600250000192e-01,1.724210012500000389e-01,1.884580908750000117e-01
1.523437500000000000e-01,1.234993707125000145e-01,1.762301479250000247e-01,1.921707578874999878e-01
1.562500000000000000e-01,1.274089814000000098e-01,1.800392946000000105e-01,1.958834248999999916e-01
1.601562500000000000e-01,1.317001238500000171e-01,1.838867468000000005e-01,1.994794164124999991e-01
1.640625000000000000e-01,1.359912663000000244e-01,1.877341989999999905e-01,2.030754079250000066e-01
1.679687500000000000e-01,1.402824087500000316e-01,1.915816512000000083e-01,2.066713994375000141e-01
1.718750000000000000e-01,1.445735511999999834e-01,1.954291034000000260e-01,2.102673909499999938e-01
1.757812500000000000e-01,1.488646936499999907e-01,1.992765556000000160e-01,2.138633824624999735e-01
1.796875000000000000e-01,1.531558361000000257e-01,2.031240078000000338e-01,2.174593739749999810e-01
1.835937500000000000e-01,1.574469785500000329e-01,2.069714600000000237e-01,2.210553654874999885e-01
1.875000000000000000e-01,1.617381210000000125e-01,2.108189122000000137e-01,2.246513569999999960e-01
1.914062500000000000e-01,1.664102224250000039e-01,2.146910249500000034e-01,2.280870538750000287e-01
1.953125000000000000e-01,1.710823238500000232e-01,2.185631376999999931e-01,2.315227507499999782e-01
1.992187500000000000e-01,1.757544252750000147e-01,2.224352504500000105e-01,2.349584476250000109e-01
2.031250000000000000e-01,1.804265266999999784e-01,2.263073632000000002e-01,2.383941444999999604e-01
2.070312500000000000e-01,1.850986281249999976e-01,2.301794759499999898e-01,2.418298413749999931e-01
2.109375000000000000e-01,1.897707295500000169e-01,2.340515886999999795e-01,2.452655382499999981e-01
2.148437500000000000e-01,1.944428309750000361e-01,2.379237014499999969e-01,2.487012351249999753e-01
2.187500000000000000e-01,1.991149323999999998e-01,2.417958141999999866e-01,2.521369319999999803e-01
2.226562500000000000e-01,2.041262243250000219e-01,2.456866910250000147e-01,2.554033083250000224e-01
2.265625000000000000e-01,2.091375162499999885e-01,2.495775678499999872e-01,2.586696846499999536e-01
2.304687500000000000e-01,2.141488081750000105e-01,2.534684446750000153e-01,2.619360609749999402e-01
2.343750000000000000e-01,2.191601001000000049e-01,2.573593215000000156e-01,2.652024372999999824e-01
2.382812500000000000e-01,2.241713920249999992e-01,2.612501983249999604e-01,2.684688136249999690e-01
2.421875000000000000e-01,2.291826839500000212e-01,2.651410751500000718e-01,2.717351899499999557e-01
2.460937500000000000e-01,2.341939758749999878e-01,2.690319519750000166e-01,2.750015662749999978e-01
2.500000000000000000e-01,2.392052678000000099e-01,2.729228288000000169e-01,2.782679425999999845e-01
2.539062500000000000e-01,2.444933568499999821e-01,2.768332038500000425e-01,2.813809948625000112e-01
2.578125000000000000e-01,2.497814459000000098e-01,2.807435789000000126e-01,2.844940471250000380e-01
2.617187500000000000e-01,2.550695349500000653e-01,2.846539539500000382e-01,2.876070993874999537e-01
2.656250000000000000e-01,2.603576240000000097e-01,2.885643289999999528e-01,2.907201516499999805e-01
2.695312500000000000e-01,2.656457130499999542e-01,2.924747040499999784e-01,2.938332039125000072e-01
2.734375000000000000e-01,2.709338021000000096e-01,2.963850791000000040e-01,2.969462561749999230e-01
2.773437500000000000e-01,2.762218911500000651e-01,3.002954541499999741e-01,3.000593084374999497e-01
2.812500000000000000e-01,2.815099802000000095e-01,3.042058291999999997e-01,3.031723606999999765e-01
2.851562500000000000e-01,2.869921798125000256e-01,3.081444818249999829e-01,3.061800516875000100e-01
2.890625000000000000e-01,2.924743794249999862e-01,3.120831344500000215e-01,3.091877426750000435e-01
2.929687500000000000e-01,2.979565790375000023e-01,3.160217870750000602e-01,3.121954336624999660e-01
2.968750000000000000e-01,3.034387786500000184e-01,3.199604396999999878e-01,3.152031246499999995e-01
3.007812500000000000e-01,3.089209782625000345e-01,3.238990923249999154e-01,3.182108156375000330e-01
3.046875000000000000e-01,3.144031778750000505e-01,3.278377449499999541e-01,3.212185066249999554e-01
3.085937500000000000e-01,3.198853774875000111e-01,3.317763975749999927e-01,3.242261976124999889e-01
3.125000000000000000e-01,3.253675771000000272e-01,3.357150501999999759e-01,3.272338886000000224e-01
3.164062500000000000e-01,3.309431546875000185e-01,3.396994121624999918e-01,3.302196910250000395e-01
3.203125000000000000e-01,3.365187322750000654e-01,3.436837741249999523e-01,3.332054934500000010e-01
3.242187500000000000e-01,3.420943098625000567e-01,3.476681360874999682e-01,3.361912958750000180e-01
3.281250000000000000e-01,3.476698874500000480e-01,3.516524980499999287e-01,3.391770982999999795e-01
3.320312500000000000e-01,3.532454650374999838e-01,3.556368600125000001e-01,3.421629007249999965e-01
3.359375000000000000e-01,3.588210426249999752e-01,3.596212219750000161e-01,3.451487031500000136e-01
3.398437500000000000e-01,3.643966202125000220e-01,3.636055839374999765e-01,3.481345055749999751e-01
3.437500000000000000e-01,3.699721978000000133e-01,3.675899458999999925e-01,3.511203079999999921e-01
3.476562500000000000e-01,3.755279430000000307e-01,3.716450030875000365e-01,3.541996896625000391e-01
3.515625000000000000e-01,3.810836881999999926e-01,3.757000602749999696e-01,3.572790713250000305e-01
3.554687500000000000e-01,3.866394333999999544e-01,3.797551174624999581e-01,3.603584529874999665e-01
3.593750000000000000e-01,3.921951785999999718e-01,3.838101746500000022e-01,3.634378346500000134e-01
3.632812500000000000e-01,3.977509237999999891e-01,3.878652318375000463e-01,3.665172163125000049e-01
3.671875000000000000e-01,4.033066690000000065e-01,3.919202890250000348e-01,3.695965979749999963e-01
3.710937500000000000e-01,4.088624142000000239e-01,3.959753462124999679e-01,3.726759796374999323e-01
3.750000000000000000e-01,4.144181593999999857e-01,4.000304034000000120e-01,3.757553612999999793e-01
3.789062500000000000e-01,4.198378794125000035e-01,4.041852119999999604e-01,3.790625310999999886e-01
3.828125000000000000e-01,4.252575994249999658e-01,4.083400206000000199e-01,3.823697008999999980e-01
