input,R,G,B
5.898437500000000000e-01,5.924070399874998838e-01,5.759846807250000866e-01,5.610689220250000275e-01
5.937500000000000000e-01,5.973115964999999861e-01,5.802150362000000339e-01,5.646849766000000548e-01
5.976562500000000000e-01,6.021425945999999696e-01,5.843650507500000035e-01,5.682130757625000195e-01
6.015625000000000000e-01,6.069735927000000641e-01,5.885150652999999732e-01,5.717411749250000952e-01
6.054687500000000000e-01,6.118045907999999367e-01,5.926650798500000539e-01,5.752692740875000599e-01
6.093750000000000000e-01,6.166355888999999202e-01,5.968150943999999125e-01,5.787973732500000246e-01
6.132812500000000000e-01,6.214665870000000147e-01,6.009651089499999932e-01,5.823254724124999893e-01
6.171875000000000000e-01,6.262975850999998872e-01,6.051151235000000739e-01,5.858535715749999540e-01
6.210937500000000000e-01,6.311285831999999818e-01,6.092651380500000435e-01,5.893816707375000297e-01
6.250000000000000000e-01,6.359595812999999653e-01,6.134151526000000132e-01,5.929097698999999944e-01
6.289062500000000000e-01,6.406867651374998918e-01,6.175006615625000528e-01,5.964081651749999491e-01
6.328125000000000000e-01,6.454139489749999292e-01,6.215861705250000924e-01,5.999065604500000148e-01
6.367187500000000000e-01,6.501411328125000777e-01,6.256716794875000209e-01,6.034049557250000806e-01
6.406250000000000000e-01,6.548683166500000041e-01,6.297571884500000605e-01,6.069033510000000353e-01
6.445312500000000000e-01,6.595955004874999306e-01,6.338426974124999891e-01,6.104017462749998790e-01
6.484375000000000000e-01,6.643226843250000790e-01,6.379282063750000287e-01,6.139001415499998338e-01
6.523437500000000000e-01,6.690498681625001165e-01,6.420137153374999572e-01,6.173985368250000105e-01
6.562500000000000000e-01,6.737770520000000429e-01,6.460992242999999968e-01,6.208969320999999653e-01
6.601562500000000000e-01,6.783749680000000781e-01,6.501353532125000445e-01,6.244184145500000227e-01
6.640625000000000000e-01,6.829728840000000023e-01,6.541714821250000922e-01,6.279398969999999691e-01
6.679687500000000000e-01,6.875707999999999265e-01,6.582076110374999178e-01,6.314613794499999155e-01
6.718750000000000000e-01,6.921687160000000727e-01,6.622437399499999655e-01,6.349828618999999730e-01
6.757812500000000000e-01,6.967666320000001079e-01,6.662798688625000132e-01,6.385043443500000304e-01
6.796875000000000000e-01,7.013645479999999210e-01,6.703159977750000609e-01,6.420258267999999768e-01
6.835937500000000000e-01,7.059624639999999562e-01,6.743521266875001086e-01,6.455473092499999233e-01
6.875000000000000000e-01,7.105603799999999914e-01,6.783882556000000452e-01,6.490687916999999807e-01
6.914062500000000000e-01,7.151298865499999824e-01,6.825016079625000343e-01,6.527641567874999939e-01
6.953125000000000000e-01,7.196993931000000844e-01,6.866149603250000233e-01,6.564595218750000072e-01
6.992187500000000000e-01,7.242688996499999643e-01,6.907283126875001233e-01,6.601548869625000204e-01
7.031250000000000000e-01,7.288384061999999552e-01,6.948416650500000014e-01,6.638502520500000337e-01
7.070312500000000000e-01,7.334079127500000572e-01,6.989550174124998794e-01,6.675456171374999359e-01
7.109375000000000000e-01,7.379774192999999372e-01,7.030683697749999794e-01,6.712409822249998381e-01
7.148437500000000000e-01,7.425469258500000391e-01,7.071817221374999685e-01,6.749363473124999624e-01
7.187500000000000000e-01,7.471164324000000301e-01,7.112950744999999575e-01,6.786317123999999756e-01
7.226562500000000000e-01,7.520112823250000300e-01,7.158692779624998836e-01,6.829126314125000263e-01
7.265625000000000000e-01,7.569061322500000299e-01,7.204434814249999208e-01,6.871935504249999660e-01
7.304687500000000000e-01,7.618009821750000299e-01,7.250176848874999580e-01,6.914744694375000167e-01
7.343750000000000000e-01,7.666958320999999188e-01,7.295918883500001062e-01,6.957553884499998453e-01
7.382812500000000000e-01,7.715906820250000298e-01,7.341660918125000324e-01,7.000363074625000070e-01
7.421875000000000000e-01,7.764855319500000297e-01,7.387402952750000695e-01,7.043172264750000577e-01
7.460937500000000000e-01,7.813803818750000296e-01,7.433144987375001067e-01,7.085981454874999974e-01
7.500000000000000000e-01,7.862752318000000296e-01,7.478887022000000329e-01,7.128790645000000481e-01
7.539062500000000000e-01,7.912661108875000959e-01,7.527812970874999676e-01,7.176831405499999317e-01
7.578125000000000000e-01,7.962569899749999403e-01,7.576738919750001244e-01,7.224872166000000373e-01
7.617187500000000000e-01,8.012478690625000066e-01,7.625664868624999482e-01,7.272912926500000319e-01
7.656250000000000000e-01,8.062387481499999620e-01,7.674590817500001050e-01,7.320953687000000265e-01
7.695312500000000000e-01,8.112296272375000283e-01,7.723516766375000397e-01,7.368994447500000211e-01
7.734375000000000000e-01,8.162205063250000947e-01,7.772442715249998635e-01,7.417035208000000157e-01
7.773437500000000000e-01,8.212113854124999390e-01,7.821368664125000203e-01,7.465075968500001213e-01
7.812500000000000000e-01,8.262022645000000054e-01,7.870294612999999551e-01,7.513116729000000049e-01
7.851562500000000000e-01,8.312249862875000783e-01,7.920062630874999954e-01,7.562480776875000199e-01
7.890625000000000000e-01,8.362477080749999292e-01,7.969830648750000357e-01,7.611844824750000349e-01
7.929687500000000000e-01,8.412704298625000021e-01,8.019598666624999650e-01,7.661208872625000499e-01
7.968750000000000000e-01,8.462931516499999640e-01,8.069366684500000053e-01,7.710572920500000649e-01
