input,R,G,B
2.421875000000000000e-01,1.661221210750000177e-01,1.991856466249999902e-01,2.479800734750000069e-01
2.460937500000000000e-01,1.706922587375000189e-01,2.034852259624999882e-01,2.518778476874999894e-01
2.500000000000000000e-01,1.752623963999999923e-01,2.077848052999999862e-01,2.557756219000000275e-01
2.539062500000000000e-01,1.806149493624999713e-01,2.121143463999999867e-01,2.585952896250000577e-01
2.578125000000000000e-01,1.859675023249999781e-01,2.164438875000000151e-01,2.614149573500000323e-01
2.617187500000000000e-01,1.913200552874999849e-01,2.207734285999999879e-01,2.642346250749999514e-01
2.656250000000000000e-01,1.966726082499999917e-01,2.251029696999999885e-01,2.670542928000000371e-01
2.695312500000000000e-01,2.020251612124999985e-01,2.294325107999999891e-01,2.698739605250000673e-01
2.734375000000000000e-01,2.073777141749999775e-01,2.337620518999999619e-01,2.726936282499999864e-01
2.773437500000000000e-01,2.127302671375000120e-01,2.380915929999999903e-01,2.755132959749999610e-01
2.812500000000000000e-01,2.180828200999999911e-01,2.424211340999999909e-01,2.783329636999999912e-01
2.851562500000000000e-01,2.237258838124999705e-01,2.467096469124999691e-01,2.806251377999999796e-01
2.890625000000000000e-01,2.293689475249999776e-01,2.509981597250000029e-01,2.829173118999999681e-01
2.929687500000000000e-01,2.350120112375000125e-01,2.552866725375000367e-01,2.852094859999999565e-01
2.968750000000000000e-01,2.406550749499999919e-01,2.595751853500000150e-01,2.875016601000000005e-01
3.007812500000000000e-01,2.462981386624999991e-01,2.638636981624999933e-01,2.897938342000000445e-01
3.046875000000000000e-01,2.519412023750000063e-01,2.681522109749999716e-01,2.920860083000000329e-01
3.085937500000000000e-01,2.575842660875000134e-01,2.724407237874999499e-01,2.943781824000000213e-01
3.125000000000000000e-01,2.632273298000000206e-01,2.767292365999999837e-01,2.966703565000000098e-01
3.164062500000000000e-01,2.687230109250000054e-01,2.810593442875000125e-01,2.992801884875000429e-01
3.203125000000000000e-01,2.742186920500000458e-01,2.853894519749999859e-01,3.018900204749999650e-01
3.242187500000000000e-01,2.797143731750000306e-01,2.897195596625000147e-01,3.044998524624999980e-01
3.281250000000000000e-01,2.852100543000000155e-01,2.940496673500000435e-01,3.071096844499999756e-01
3.320312500000000000e-01,2.907057354250000003e-01,2.983797750374999613e-01,3.097195164375000087e-01
3.359375000000000000e-01,2.962014165499999852e-01,3.027098827249999902e-01,3.123293484250000418e-01
3.398437500000000000e-01,3.016970976750000255e-01,3.070399904124999635e-01,3.149391804124999639e-01
3.437500000000000000e-01,3.071927788000000104e-01,3.113700980999999923e-01,3.175490123999999970e-01
3.476562500000000000e-01,3.121311705125000002e-01,3.157916292374999268e-01,3.212060316249999992e-01
3.515625000000000000e-01,3.170695622250000456e-01,3.202131603750000277e-01,3.248630508500000569e-01
3.554687500000000000e-01,3.220079539375000355e-01,3.246346915125000177e-01,3.285200700750000036e-01
3.593750000000000000e-01,3.269463456499999698e-01,3.290562226500000076e-01,3.321770893000000058e-01
3.632812500000000000e-01,3.318847373624999597e-01,3.334777537874999975e-01,3.358341085250000080e-01
3.671875000000000000e-01,3.368231290750000051e-01,3.378992849249999875e-01,3.394911277499999547e-01
3.710937500000000000e-01,3.417615207874999950e-01,3.423208160625000884e-01,3.431481469750000124e-01
3.750000000000000000e-01,3.466999124999999848e-01,3.467423472000000229e-01,3.468051662000000146e-01
3.789062500000000000e-01,3.511738992124999736e-01,3.512110295750000555e-01,3.512659962000000413e-01
3.828125000000000000e-01,3.556478859249999624e-01,3.556797119500000326e-01,3.557268261999999570e-01
3.867187500000000000e-01,3.601218726374999513e-01,3.601483943250000097e-01,3.601876562000000392e-01
3.906250000000000000e-01,3.645958593500000511e-01,3.646170766999999868e-01,3.646484862000000104e-01
3.945312500000000000e-01,3.690698460625000399e-01,3.690857590750000194e-01,3.691093161999999817e-01
3.984375000000000000e-01,3.735438327749999732e-01,3.735544414499999966e-01,3.735701462000000639e-01
4.023437500000000000e-01,3.780178194875000175e-01,3.780231238249999737e-01,3.780309761999999796e-01
4.062500000000000000e-01,3.824918062000000063e-01,3.824918062000000063e-01,3.824918062000000063e-01
4.101562500000000000e-01,3.869601981874999930e-01,3.869601981874999930e-01,3.869601981874999375e-01
4.140625000000000000e-01,3.914285901749999796e-01,3.914285901750000352e-01,3.914285901750000352e-01
4.179687500000000000e-01,3.958969821625000218e-01,3.958969821625000218e-01,3.958969821624999663e-01
4.218750000000000000e-01,4.003653741500000085e-01,4.003653741500000640e-01,4.003653741500000640e-01
4.257812500000000000e-01,4.048337661374999952e-01,4.048337661374999952e-01,4.048337661374999952e-01
4.296875000000000000e-01,4.093021581250000374e-01,4.093021581249999818e-01,4.093021581249999818e-01
4.335937500000000000e-01,4.137705501125000240e-01,4.137705501125000240e-01,4.137705501125000240e-01
