input,R,G,B
1.445312500000000000e-01,1.014649992624999941e-01,1.489761192250000088e-01,1.772331641500000110e-01
1.484375000000000000e-01,1.045997030749999945e-01,1.520434774500000197e-01,1.802546600000000110e-01
1.523437500000000000e-01,1.077344068875000088e-01,1.551108356750000306e-01,1.832761558500000110e-01
1.562500000000000000e-01,1.108691106999999954e-01,1.581781939000000137e-01,1.862976517000000110e-01
1.601562500000000000e-01,1.146153994999999925e-01,1.616098924875000176e-01,1.894994319250000170e-01
1.640625000000000000e-01,1.183616882999999897e-01,1.650415910750000215e-01,1.927012121500000230e-01
1.679687500000000000e-01,1.221079771000000008e-01,1.684732896625000254e-01,1.959029923750000290e-01
1.718750000000000000e-01,1.258542658999999841e-01,1.719049882500000015e-01,1.991047726000000351e-01
1.757812500000000000e-01,1.296005547000000091e-01,1.753366868374999776e-01,2.023065528249999856e-01
1.796875000000000000e-01,1.333468435000000063e-01,1.787683854249999815e-01,2.055083330499999916e-01
1.835937500000000000e-01,1.370931323000000035e-01,1.822000840124999854e-01,2.087101132749999977e-01
1.875000000000000000e-01,1.408394211000000007e-01,1.856317825999999893e-01,2.119118935000000037e-01
1.914062500000000000e-01,1.451367107624999819e-01,1.893805852374999821e-01,2.152812215999999890e-01
1.953125000000000000e-01,1.494340004249999909e-01,1.931293878750000026e-01,2.186505497000000298e-01
1.992187500000000000e-01,1.537312900874999722e-01,1.968781905124999954e-01,2.220198778000000150e-01
2.031250000000000000e-01,1.580285797500000089e-01,2.006269931499999881e-01,2.253892059000000281e-01
2.070312500000000000e-01,1.623258694125000179e-01,2.043757957874999809e-01,2.287585339999999856e-01
2.109375000000000000e-01,1.666231590749999991e-01,2.081245984249999736e-01,2.321278620999999709e-01
2.148437500000000000e-01,1.709204487375000081e-01,2.118734010624999942e-01,2.354971902000000117e-01
2.187500000000000000e-01,1.752177383999999893e-01,2.156222036999999869e-01,2.388665182999999970e-01
2.226562500000000000e-01,1.800697477374999800e-01,2.196439456000000012e-01,2.422852485750000007e-01
2.265625000000000000e-01,1.849217570749999706e-01,2.236656874999999878e-01,2.457039788500000044e-01
2.304687500000000000e-01,1.897737664124999890e-01,2.276874293999999743e-01,2.491227091250000358e-01
2.343750000000000000e-01,1.946257757500000074e-01,2.317091712999999886e-01,2.525414394000000118e-01
2.382812500000000000e-01,1.994777850874999980e-01,2.357309132000000029e-01,2.559601696750000155e-01
2.421875000000000000e-01,2.043297944250000164e-01,2.397526550999999895e-01,2.593788999500000192e-01
2.460937500000000000e-01,2.091818037625000071e-01,2.437743969999999760e-01,2.627976302250000229e-01
2.500000000000000000e-01,2.140338130999999977e-01,2.477961388999999903e-01,2.662163605000000266e-01
2.539062500000000000e-01,2.193740994125000232e-01,2.520545964625000024e-01,2.696512406750000146e-01
2.578125000000000000e-01,2.247143857249999932e-01,2.563130540249999867e-01,2.730861208500000581e-01
2.617187500000000000e-01,2.300546720375000187e-01,2.605715115875000265e-01,2.765210010250000461e-01
2.656250000000000000e-01,2.353949583500000164e-01,2.648299691500000108e-01,2.799558811999999786e-01
2.695312500000000000e-01,2.407352446625000142e-01,2.690884267124999951e-01,2.833907613749999665e-01
2.734375000000000000e-01,2.460755309750000119e-01,2.733468842749999794e-01,2.868256415500000100e-01
2.773437500000000000e-01,2.514158172875000097e-01,2.776053418375000192e-01,2.902605217249999980e-01
2.812500000000000000e-01,2.567561036000000074e-01,2.818637994000000035e-01,2.936954018999999860e-01
2.851562500000000000e-01,2.623065471874999610e-01,2.861964523125000159e-01,2.970566830499999922e-01
2.890625000000000000e-01,2.678569907750000256e-01,2.905291052249999728e-01,3.004179641999999983e-01
2.929687500000000000e-01,2.734074343625000347e-01,2.948617581374999852e-01,3.037792453499999490e-01
2.968750000000000000e-01,2.789578779499999883e-01,2.991944110499999976e-01,3.071405265000000107e-01
3.007812500000000000e-01,2.845083215374999974e-01,3.035270639625000100e-01,3.105018076500000168e-01
3.046875000000000000e-01,2.900587651250000620e-01,3.078597168750000224e-01,3.138630887999999675e-01
3.085937500000000000e-01,2.956092087125000711e-01,3.121923697874999792e-01,3.172243699499999736e-01
3.125000000000000000e-01,3.011596523000000247e-01,3.165250226999999916e-01,3.205856510999999798e-01
3.164062500000000000e-01,3.067136311125000514e-01,3.208578252125000585e-01,3.238990335624999939e-01
