input,R,G,B
1.992187500000000000e-01,2.315212253750000004e-01,2.315212253750000004e-01,2.315212253750000282e-01
2.031250000000000000e-01,2.357797585000000196e-01,2.357797585000000196e-01,2.357797585000000196e-01
2.070312500000000000e-01,2.400382916250000109e-01,2.400382916250000109e-01,2.400382916250000109e-01
2.109375000000000000e-01,2.442968247500000301e-01,2.442968247500000301e-01,2.442968247500000023e-01
2.148437500000000000e-01,2.485553578750000214e-01,2.485553578749999937e-01,2.485553578749999937e-01
2.187500000000000000e-01,2.528138910000000128e-01,2.528138910000000128e-01,2.528138910000000128e-01
2.226562500000000000e-01,2.570436169624999989e-01,2.570436169624999989e-01,2.570436169624999989e-01
2.265625000000000000e-01,2.612733429249999850e-01,2.612733429250000405e-01,2.612733429250000405e-01
2.304687500000000000e-01,2.655030688874999711e-01,2.655030688875000267e-01,2.655030688875000267e-01
2.343750000000000000e-01,2.697327948500000128e-01,2.697327948500000128e-01,2.697327948500000128e-01
2.382812500000000000e-01,2.739625208125000544e-01,2.739625208124999989e-01,2.739625208124999989e-01
2.421875000000000000e-01,2.781922467750000405e-01,2.781922467749999850e-01,2.781922467749999850e-01
2.460937500000000000e-01,2.824219727375000266e-01,2.824219727375000266e-01,2.824219727375000266e-01
2.500000000000000000e-01,2.866516987000000127e-01,2.866516987000000127e-01,2.866516987000000127e-01
2.539062500000000000e-01,2.908603778625000191e-01,2.908603778625000191e-01,2.908603778625000191e-01
2.578125000000000000e-01,2.950690570250000255e-01,2.950690570249999700e-01,2.950690570250000255e-01
2.617187500000000000e-01,2.992777361875000319e-01,2.992777361874999764e-01,2.992777361875000319e-01
2.656250000000000000e-01,3.034864153499999828e-01,3.034864153500000383e-01,3.034864153499999828e-01
2.695312500000000000e-01,3.076950945124999892e-01,3.076950945125000447e-01,3.076950945124999892e-01
2.734375000000000000e-01,3.119037736749999956e-01,3.119037736749999956e-01,3.119037736749999956e-01
2.773437500000000000e-01,3.161124528375000020e-01,3.161124528375000020e-01,3.161124528375000020e-01
2.812500000000000000e-01,3.203211320000000084e-01,3.203211320000000084e-01,3.203211320000000084e-01
2.851562500000000000e-01,3.245165247250000329e-01,3.245165247250000329e-01,3.245165247250000329e-01
2.890625000000000000e-01,3.287119174500000018e-01,3.287119174500000018e-01,3.287119174500000018e-01
2.929687500000000000e-01,3.329073101749999708e-01,3.329073101750000263e-01,3.329073101749999708e-01
2.968750000000000000e-01,3.371027028999999953e-01,3.371027028999999953e-01,3.371027028999999953e-01
3.007812500000000000e-01,3.412980956250000197e-01,3.412980956250000197e-01,3.412980956250000197e-01
3.046875000000000000e-01,3.454934883499999887e-01,3.454934883499999887e-01,3.454934883499999887e-01
3.085937500000000000e-01,3.496888810749999577e-01,3.496888810750000132e-01,3.496888810749999577e-01
3.125000000000000000e-01,3.538842737999999821e-01,3.538842737999999821e-01,3.538842737999999821e-01
3.164062500000000000e-01,3.580741404749999690e-01,3.580741404749999690e-01,3.580741404749999690e-01
3.203125000000000000e-01,3.622640071499999559e-01,3.622640071500000114e-01,3.622640071500000114e-01
3.242187500000000000e-01,3.664538738249999983e-01,3.664538738249999983e-01,3.664538738250000538e-01
3.281250000000000000e-01,3.706437404999999297e-01,3.706437405000000407e-01,3.706437404999999852e-01
3.320312500000000000e-01,3.748336071749999721e-01,3.748336071749999721e-01,3.748336071749999165e-01
3.359375000000000000e-01,3.790234738500000145e-01,3.790234738499999589e-01,3.790234738499999589e-01
3.398437500000000000e-01,3.832133405250000013e-01,3.832133405250000013e-01,3.832133405250000013e-01
3.437500000000000000e-01,3.874032071999999882e-01,3.874032071999999882e-01,3.874032071999999882e-01
