input,R,G,B
2.226562500000000000e-01,2.749493737750000610e-01,2.749493737750000610e-01,2.749493737750000055e-01
2.265625000000000000e-01,2.788137489500000510e-01,2.788137489500000510e-01,2.788137489499999955e-01
2.304687500000000000e-01,2.826781241250000409e-01,2.826781241249999854e-01,2.826781241249999854e-01
2.343750000000000000e-01,2.865424993000000309e-01,2.865424992999999754e-01,2.865424992999999754e-01
2.382812500000000000e-01,2.904068744750000208e-01,2.904068744750000208e-01,2.904068744750000208e-01
2.421875000000000000e-01,2.942712496500000108e-01,2.942712496499999553e-01,2.942712496500000108e-01
2.460937500000000000e-01,2.981356248250000007e-01,2.981356248249999452e-01,2.981356248250000007e-01
2.500000000000000000e-01,3.019999999999999907e-01,3.019999999999999907e-01,3.019999999999999907e-01
2.539062500000000000e-01,3.057008928124999581e-01,3.057008928125000136e-01,3.057008928125000136e-01
2.578125000000000000e-01,3.094017856249999809e-01,3.094017856249999809e-01,3.094017856249999809e-01
2.617187500000000000e-01,3.131026784375000038e-01,3.131026784375000038e-01,3.131026784374999483e-01
2.656250000000000000e-01,3.168035712500000267e-01,3.168035712500000267e-01,3.168035712500000267e-01
2.695312500000000000e-01,3.205044640624999941e-01,3.205044640624999941e-01,3.205044640624999941e-01
2.734375000000000000e-01,3.242053568750000725e-01,3.242053568750000170e-01,3.242053568750000170e-01
2.773437500000000000e-01,3.279062496875000399e-01,3.279062496874999844e-01,3.279062496875000399e-01
2.812500000000000000e-01,3.316071425000000072e-01,3.316071425000000072e-01,3.316071425000000072e-01
2.851562500000000000e-01,3.351083969000000495e-01,3.351083968999999940e-01,3.351083969000000495e-01
2.890625000000000000e-01,3.386096512999999808e-01,3.386096512999999808e-01,3.386096512999999808e-01
2.929687500000000000e-01,3.421109056999999676e-01,3.421109057000000231e-01,3.421109056999999676e-01
2.968750000000000000e-01,3.456121600999999544e-01,3.456121601000000099e-01,3.456121600999999544e-01
3.007812500000000000e-01,3.491134145000000522e-01,3.491134144999999966e-01,3.491134145000000522e-01
3.046875000000000000e-01,3.526146689000000389e-01,3.526146689000000389e-01,3.526146689000000389e-01
3.085937500000000000e-01,3.561159232999999702e-01,3.561159233000000257e-01,3.561159232999999702e-01
3.125000000000000000e-01,3.596171777000000125e-01,3.596171777000000125e-01,3.596171777000000125e-01
3.164062500000000000e-01,3.630158952624999991e-01,3.630158952624999991e-01,3.630158952624999991e-01
3.203125000000000000e-01,3.664146128249999856e-01,3.664146128249999856e-01,3.664146128250000412e-01
3.242187500000000000e-01,3.698133303874999722e-01,3.698133303874999722e-01,3.698133303875000277e-01
3.281250000000000000e-01,3.732120479499999588e-01,3.732120479499999588e-01,3.732120479500000698e-01
3.320312500000000000e-01,3.766107655125000564e-01,3.766107655125000009e-01,3.766107655125000009e-01
